,animalID,cond,genoGroup,npads
0,BRO3,async,TrkC_S1HP,0.30303030303030304
1,BRO3,sync,TrkC_S1HP,0.7272727272727273
2,BTT1,async,TrkC_S1HP,0.4
3,BTT1,sync,TrkC_S1HP,0.72
4,BTT3,async,TrkC_S1HP,0.4126984126984127
5,BTT3,sync,TrkC_S1HP,1.3968253968253967
6,BUF4,async,TrkC_S1HP,0.4528301886792453
7,BUF4,sync,TrkC_S1HP,1.2452830188679245
0,BTK4,async,TrkB_S1HP,0.4230769230769231
1,BTK4,sync,TrkB_S1HP,0.9230769230769231
2,BTM2,async,TrkB_S1HP,1.5070422535211268
3,BTM2,sync,TrkB_S1HP,2.408450704225352
4,BTM3,async,TrkB_S1HP,1.7763157894736843
5,BTM3,sync,TrkB_S1HP,2.5921052631578947
6,BTN4,async,TrkB_S1HP,1.2857142857142858
7,BTN4,sync,TrkB_S1HP,2.3506493506493507
8,BTR5,async,TrkB_S1HP,0.7058823529411765
9,BTR5,sync,TrkB_S1HP,0.9117647058823529
